Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
Unnamed,NL,234,178,185.80.222.105,rapidshit.net,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.9.12 on Linux,0,0,2016-08-21,UK2NET-AS- GB,13213,522,None
Unnamed,CA,213,58,45.62.252.126,c625804926-cloudpro-597429566.cloudatcost.com,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.9.13 on Linux,0,0,2017-11-30,DATACITY - KW Datacenter- CA,31798,718,None
Unnamed,JP,12,78,153.126.177.90,ik1-324-22336.vs.sakura.ne.jp,9001,None,0,0,1,0,0,0,1,1,1,Tor 0.3.2.4-alpha on Linux,0,0,2017-11-30,SAKURA-A SAKURA Internet Inc.- JP,7684,55,None
Unnamed,RU,0,5,95.79.72.102,dynamicip-95-79-72-102.pppoe.nn.ertelecom.ru,443,9030,0,0,0,0,0,0,1,1,1,Tor 0.2.9.10 on Windows XP,0,0,2017-04-29,ERTH-NNOV-AS- RU,42682,9,None
Unnamed,NL,3912,180,62.212.72.243,62.212.72.243,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.9.11 on Linux,0,0,2014-09-09,LEASEWEB-NL Netherlands- NL,60781,14500,None
Unnamed,CH,567,33,84.241.83.136,136-83-241-84.dyn.cable.fcom.ch,9001,None,0,0,1,0,0,1,1,1,1,Tor 0.3.0.13 on Linux,0,0,2017-07-14,FINECOM Quickline AG (former Finecom Telecommunications AG / EBM Telecom)- CH,15600,1210,None
Unnamed,US,4825,703,216.218.134.12,tor-exit.altsci.com,9040,None,0,1,1,1,0,1,1,1,1,Tor 0.3.1.7 on Linux,0,0,2013-02-14,HURRICANE - Hurricane Electric- Inc.- US,6939,5190,None
Unnamed,US,561,67,72.14.183.14,li46-14.members.linode.com,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.9.10 on Linux,0,0,2015-11-22,LINODE-AP Linode- LLC- US,63949,1550,None
Unnamed,HR,619,1147,85.10.51.47,85-10-51-47.croweb.host,3168,25216,0,0,1,0,0,1,1,1,1,Tor 0.2.9.12 on Linux,0,0,2017-10-12,AMIS- HR,29485,1610,None
Unnamed,FR,531,492,145.239.11.213,ns3090543.ip-145-239-11.eu,11703,27609,0,0,1,0,0,1,1,1,1,Tor 0.2.9.12 on Linux,0,0,2017-11-13,OVH- FR,16276,1190,None
Unnamed,FI,420,364,185.103.110.11,11.110.103.rdns.systems,12770,24159,0,0,1,0,0,1,1,1,1,Tor 0.2.9.12 on Linux,0,0,2017-10-16,ASEUHOST- FI,51765,1110,None
Unnamed,ES,318,1153,192.162.26.25,ricaux.treemogenteg.com,14099,2771,0,0,1,0,0,1,1,1,1,Tor 0.2.9.12 on Linux,0,0,2017-08-21,SOLOGIGABIT-AS- ES,56934,958,None
Unnamed,RU,25,10,46.164.213.242,46.164.213.242,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.3.1.8 on Linux,0,0,2016-10-03,IC-VORONEZH-AS Informsvyaz - Chernozemye- RU,6856,634,None
Unnamed,RU,3087,43,94.19.14.183,94.19.14.183.pool.sknt.ru,9001,None,0,0,1,1,0,1,1,1,1,Tor 0.3.1.8 on FreeBSD,0,0,2017-05-10,SKYNET-SPB-AS- RU,35807,10800,None
Unnamed,DE,434,663,54.36.112.234,54.36.112.234,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.3.1.8 on Linux,0,0,2017-10-23,OVH- FR,16276,1380,None
Unnamed,DE,206,3821,5.9.212.204,static.204.212.9.5.clients.your-server.de,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.4.29 on Linux,0,0,2015-08-14,HETZNER-AS- DE,24940,677,None
Unnamed,JP,15,84,103.250.73.2,103.250.73.2,18796,25735,0,0,1,0,0,0,1,1,1,Tor 0.2.9.12 on Linux,0,0,2017-11-30,ASN-EQUINIX-AP Equinix Asia Pacific- SG,17819,61,None
